,u,g,r,i,z,class,redshift
46344,18.98263,17.75095,17.23312,16.92752,16.73789,1.0,0.07285465
46346,18.15435,17.29066,17.04655,16.96495,16.95187,0.0,0.000141777
46355,18.888360000000002,17.65059,17.21408,16.93723,16.83651,1.0,0.07032279
46368,18.16071,16.80516,16.16819,15.796710000000001,15.53974,1.0,0.06608494
46379,19.12665,17.71632,17.186339999999998,16.964979999999997,16.846870000000003,0.0,6.108407e-06
46392,19.01959,17.55356,16.78743,16.329639999999998,16.04074,1.0,0.07582991
46403,18.21402,16.825860000000002,16.32829,16.1252,16.01289,0.0,9.379988000000001e-05
46414,18.96835,17.62971,17.0194,16.83535,16.766939999999998,0.0,7.779538000000001e-05
46417,18.58942,17.4849,16.96501,16.77675,16.70934,0.0,0.0002816677
46436,19.13391,17.42482,16.64228,16.253529999999998,15.925089999999999,1.0,0.0
46439,19.15502,17.587870000000002,16.830289999999998,16.40594,16.09488,1.0,0.06740826
46453,18.16785,17.21416,16.80919,16.56146,16.33241,1.0,0.05884386
46495,18.71906,17.49362,16.769000000000002,16.579520000000002,16.603289999999998,0.0,0.0005820355
46497,18.53969,17.46487,16.89109,16.664170000000002,16.537689999999998,0.0,0.0001846957
46503,18.88652,17.72348,17.21249,17.00291,16.928320000000003,0.0,0.0007008445
46505,18.53906,17.56266,17.19473,16.90939,16.798029999999997,1.0,0.07569541
46532,18.22919,17.1382,16.74244,16.49781,16.37562,1.0,0.06285790000000001
46540,18.87115,17.13652,16.55339,16.35483,16.297810000000002,0.0,0.0001549815
46546,18.82852,17.537770000000002,16.980339999999998,16.660870000000003,16.43978,1.0,0.06272478
46549,18.82905,17.66369,17.10736,16.72946,16.51393,1.0,0.05802402
46555,18.2526,16.97475,16.319979999999997,15.96445,15.70491,1.0,0.02042855
46578,18.99551,17.52925,16.79659,16.39785,16.129,1.0,0.06526599999999999
46587,18.45681,17.394270000000002,16.950429999999997,16.64105,16.48909,1.0,0.06215306
46594,18.97145,17.38898,16.58778,16.203879999999998,15.91627,1.0,0.05722069
46599,18.41726,17.06356,16.57096,16.38916,16.32345,0.0,8.671970999999999e-05
46600,18.58201,17.09085,16.412670000000002,16.050420000000003,15.768310000000001,1.0,0.05500524
46605,18.41171,17.43148,17.22521,17.059839999999998,16.946579999999997,1.0,0.04775585
46610,18.75279,17.233710000000002,16.50691,16.10454,15.83792,1.0,0.06451239
46617,18.192870000000003,17.07483,16.61301,16.405839999999998,16.31995,0.0,0.00016591700000000002
46627,18.27815,17.364620000000002,17.04395,16.91649,16.87069,0.0,9.498143e-05
46628,19.00606,17.75721,17.224870000000003,16.87552,16.64094,1.0,0.06778197
46637,18.623739999999998,17.26886,16.71579,16.41762,16.17326,1.0,0.03711939
46665,18.17683,16.90426,16.5952,16.35431,16.33811,1.0,0.02090974
